,FH_REF,TP_SEGMENTO_FINAL2,target,ID,TO_PROM_TO_CARGOS_3M,NU_VINC_COGNODATA,TO_NECESIDAD_FINAN_CAP_3M,IM_PROM_GASTOS_3M,IM_SUM_SDO_CORTE_1M
201,2017-11-01,JOVEN PROFESIONAL,41,4158,11.138969055635751,2.5899470899470898,8075.424697573488,415499.8766842569,2224624.643031785
202,2017-11-01,JOVEN TRABAJADOR,36,5346,7.6551315625389735,1.6681631126075571,1146.8994308496817,36542.05715735507,1232307.8333333333
203,2017-11-01,PAREJA JOVEN,37,3979,7.8002010555415815,2.709474742397587,2202.3997163862095,231233.37513942207,1839449.4571428571
204,2017-11-01,PAREJAS ADULTAS,49,3319,8.725670382645372,2.9671587827658934,2522.513563145637,327909.0304546058,1962693.764925373
205,2017-11-01,PAREJAS SENIOR,41,4542,6.207214149420211,2.9641127256715105,943.58273880503,346059.04071677965,1934942.9030354132
208,2017-12-01,ADULTO EN PLENITUD,77,7803,3.26607287795292,2.195822119697552,307.0322469703914,139246.98162550773,2126315.238166792
209,2017-12-01,ADULTOS INDEPENDIENTES,51,5558,6.479608972052287,2.3965455199712125,2715.993308579568,283248.2231520743,2229183.714054927
210,2017-12-01,DIVORCIADO,18,2274,8.985488126649093,3.4085312225153914,61669.26351712425,598173.5828534003,2972997.9540229887
211,2017-12-01,HOGARES CON HIJOS,85,6380,9.833202716823404,4.122413793103449,18814.89136886636,799966.9717114088,2717361.27385103
214,2017-12-01,JOVEN PROFESIONAL,45,4138,11.77903979378118,2.609714838086032,21219.506221132466,421226.04327855457,2189531.910539216
215,2017-12-01,JOVEN TRABAJADOR,35,5482,8.123525477319728,1.690806275082087,1640.5419701261997,39307.005884887185,1124991.1953125
216,2017-12-01,PAREJA JOVEN,42,3997,8.256400633808683,2.7550662997247937,6249.923669153028,231207.79054967157,1836454.7671541057
217,2017-12-01,PAREJAS ADULTAS,44,3320,9.158634538152592,2.9629518072289156,2883.335508749496,341599.5973098628,1881418.6113207547
218,2017-12-01,PAREJAS SENIOR,52,4553,6.472435756643971,2.9905556775752253,1041.7562134026405,356005.7347753543,2019379.136904762
221,2018-01-01,ADULTO EN PLENITUD,64,7829,3.2239323881295636,2.1918508110869843,187.56687652323404,128788.64954937717,2040869.9555388093
222,2018-01-01,ADULTOS INDEPENDIENTES,60,5427,6.663073521282492,2.455131748664087,2474.1501574775225,282238.4049748793,2258077.9485294116
223,2018-01-01,DIVORCIADO,27,2304,9.472439236111114,3.447048611111111,79394.03034153619,689182.1990488853,2987851.3918539328
224,2018-01-01,HOGARES CON HIJOS,96,6444,10.131905648665436,4.139199255121043,14744.506680727975,818154.0153801063,2733627.41247613
227,2018-01-01,JOVEN PROFESIONAL,41,4088,12.15003261578606,2.6462818003913893,12259.016264259697,409071.81908816524,2142264.5853365385
228,2018-01-01,JOVEN TRABAJADOR,35,5594,8.204147300679283,1.729889166964605,3143.69052223232,43611.43268156162,1200290.5939849624
229,2018-01-01,PAREJA JOVEN,43,3987,8.389599531811719,2.782292450464008,6103.799740859178,253696.3399269798,1887756.2093023255
230,2018-01-01,PAREJAS ADULTAS,37,3256,9.375358312858296,3.029176904176904,2004.515584962977,348788.5610525841,1898841.6603053436
231,2018-01-01,PAREJAS SENIOR,68,4537,6.59631915362573,3.0017632797002425,921.380245692112,347357.17548381916,1906603.7575757576
234,2018-02-01,ADULTO EN PLENITUD,75,8004,3.3246918207563017,2.264367816091954,2520.0236792725186,124211.11543417994,1976916.5234042553
235,2018-02-01,ADULTOS INDEPENDIENTES,72,5451,6.6028557451232155,2.4667033571821686,5602.092213983984,279449.18648065155,2236478.349087894
236,2018-02-01,DIVORCIADO,42,2515,9.601921802518227,3.4755467196819088,51739.573980447254,644511.4322695611,2944814.2588832485
237,2018-02-01,HOGARES CON HIJOS,128,6434,9.80349186612787,4.079421821572894,19803.688479704368,803149.8306527286,2751415.4502431117
240,2018-02-01,JOVEN PROFESIONAL,64,4673,11.875526071759785,2.554675797132463,14828.742069341652,334967.4050881188,1982268.2938547486
241,2018-02-01,JOVEN TRABAJADOR,40,4908,7.785927737027979,1.6672779136104319,4650.362601070716,37482.94310494121,1040171.5977653632
242,2018-02-01,PAREJA JOVEN,34,3729,8.113971574148545,2.8004827031375705,30165.792401444756,230222.58162380973,1854270.6558363417
243,2018-02-01,PAREJAS ADULTAS,48,3300,9.290555555555528,3.0403030303030305,3543.201993416576,339749.4301504248,1882673.6778606966
244,2018-02-01,PAREJAS SENIOR,69,4594,6.645769844724978,3.022855898998694,1547.6811595605707,409637.36596244306,1867778.8354755784
247,2018-03-01,ADULTO EN PLENITUD,88,8179,3.1850266943798773,2.2411052695928597,127.52934070030918,127677.9262004248,1962800.2962437987
248,2018-03-01,ADULTOS INDEPENDIENTES,62,5556,6.31662467002639,2.4685025197984163,3790.997014579284,287095.8015408835,2294015.9
249,2018-03-01,DIVORCIADO,33,2476,9.337708669897692,3.5092891760904683,45266.880356864436,695555.9157271243,3268523.6225680932
250,2018-03-01,HOGARES CON HIJOS,119,6416,9.453657522859524,4.129052369077307,18702.2146301329,795499.9079176355,2790744.0035598706
253,2018-03-01,JOVEN PROFESIONAL,59,4531,11.566136982270283,2.6285588170381815,2329.0572413495615,305859.7227251344,2044930.9663299664
254,2018-03-01,JOVEN TRABAJADOR,41,5084,7.557566220823495,1.7289535798583793,5492.4541809355715,32958.74177811783,892644.7043010753
255,2018-03-01,PAREJA JOVEN,42,3694,7.990705648799859,2.833513806172171,824.1446552481574,275483.88085900183,1897967.388004896
256,2018-03-01,PAREJAS ADULTAS,47,3326,9.008669071958305,3.0865904990980155,3658.832426040112,312133.6556783861,1815295.3412797994
257,2018-03-01,PAREJAS SENIOR,64,4610,6.520426608821402,3.06117136659436,901.513280103755,419497.32380743785,1939296.9668989547
260,2018-04-01,ADULTO EN PLENITUD,75,8056,3.3457257530619096,2.3123138033763655,100.21014714729404,142606.45729529054,1995737.3056921996
261,2018-04-01,ADULTOS INDEPENDIENTES,56,5739,6.416739269326806,2.5654295173375155,872.5587290697471,253246.730343998,2400658.5311740893
262,2018-04-01,DIVORCIADO,24,2333,9.446635233604816,3.5606515216459496,41908.19355561179,759686.8472330393,3364972.8758434546
