ENTIDAD,OPERACION.O.RAMO,PRIMA.EMITIDA,SINIESTROS.PAGADOS,z1,z2,z3,z4,z5,z6,z7
Quintana Roo,LIA,64.252304,69.350838,0,0,0,0,0,1,0
San Luis Potosi,LIA,36.02341,5.776584,0,0,0,0,0,1,0
Sinaloa,LIA,34.781668,18.233417,0,0,0,0,0,1,0
Sonora,LIA,48.549416,16.00364,0,0,0,0,0,1,0
Tabasco,LIA,23.567013,6.673878,0,0,0,0,0,1,0
Tamaulipas,LIA,74.143459,12.688362,0,0,0,0,0,1,0
Tlaxcala,LIA,4.192275,1.927295,0,0,0,0,0,1,0
Veracruz,LIA,68.441399,36.98304,0,0,0,0,0,1,0
Yucatan,LIA,126.074451,5.904915,0,0,0,0,0,1,0
Zacatecas,LIA,5.822792,1.087766,0,0,0,0,0,1,0
Aguascalientes,HEA,0.423447,1.011657,0,0,0,0,0,0,1
Baja California,HEA,16.98361,5.884712,0,0,0,0,0,0,1
Baja California Sur,HEA,0.350383,0.357062,0,0,0,0,0,0,1
Campeche,HEA,5.210796,0.723528,0,0,0,0,0,0,1
Coahuila,HEA,6.895406,3.758204,0,0,0,0,0,0,1
Colima,HEA,0.053629,0.121005,0,0,0,0,0,0,1
Chiapas,HEA,3.689432,2.99988,0,0,0,0,0,0,1
Chihuahua,HEA,9.21494,13.150998,0,0,0,0,0,0,1
Distrito Federal,HEA,473.478751,291.325109,0,0,0,0,0,0,1
Durango,HEA,2.602771,0.692082,0,0,0,0,0,0,1
Guanajuato,HEA,7.41018,8.377916,0,0,0,0,0,0,1
Guerrero,HEA,0.131212,0.827693,0,0,0,0,0,0,1
Hidalgo,HEA,0.681535,1.083265,0,0,0,0,0,0,1
Jalisco,HEA,28.232878,17.017944,0,0,0,0,0,0,1
"Mexico, Estado De",HEA,31.201971,26.756944,0,0,0,0,0,0,1
Michoacan,HEA,2.72896,1.592637,0,0,0,0,0,0,1
Morelos,HEA,1.547173,2.514508,0,0,0,0,0,0,1
Nayarit,HEA,0.020791,0.052069,0,0,0,0,0,0,1
Nuevo Leon,HEA,230.904832,166.583328,0,0,0,0,0,0,1
Oaxaca,HEA,0.188353,0.215321,0,0,0,0,0,0,1
Puebla,HEA,2.397931,2.334832,0,0,0,0,0,0,1
Queretaro,HEA,7.184406,3.6005,0,0,0,0,0,0,1
Quintana Roo,HEA,0.142297,0.55365,0,0,0,0,0,0,1
San Luis Potosi,HEA,1.667339,1.193524,0,0,0,0,0,0,1
Sinaloa,HEA,7.746108,3.417411,0,0,0,0,0,0,1
Sonora,HEA,79.388692,38.990444,0,0,0,0,0,0,1
Tabasco,HEA,0.867297,1.112135,0,0,0,0,0,0,1
Tamaulipas,HEA,5.258778,2.617446,0,0,0,0,0,0,1
Tlaxcala,HEA,0.057655,0.172582,0,0,0,0,0,0,1
Veracruz,HEA,3.604887,2.921779,0,0,0,0,0,0,1
Yucatan,HEA,0.999495,1.636512,0,0,0,0,0,0,1
Zacatecas,HEA,0.045077,0.266232,0,0,0,0,0,0,1
